Date,Climate,Covid,Both,US_daily_covid_death
2020/1/21,3235,677,0.19%,0
2020/1/22,3808,996,0.55%,0
2020/1/23,3005,2139,0.43%,0
2020/1/24,3197,3506,0.53%,0
2020/1/25,2264,4484,0.79%,0
2020/1/26,2045,4993,1.35%,0
2020/1/27,2412,5453,1.23%,0
2020/1/28,2487,5699,1.31%,0
2020/1/29,2688,4838,0.99%,0
2020/1/30,2616,5756,1.28%,0
2020/1/31,2284,6213,1.34%,0
2020/2/1,1949,4864,1.12%,0
2020/2/2,1867,4244,0.90%,0
2020/2/3,2197,4143,0.81%,0
2020/2/4,2480,4073,0.68%,0
2020/2/5,2340,3853,0.68%,0
2020/2/6,2182,3835,0.91%,0
2020/2/7,2563,4302,0.66%,0
2020/2/8,2657,3363,0.78%,0
2020/2/9,2235,3289,0.80%,0
2020/2/10,2574,4084,0.81%,0
2020/2/11,2548,3991,1.13%,0
2020/2/12,3041,3917,0.82%,0
2020/2/13,2925,4129,0.78%,0
2020/2/14,2491,3582,0.95%,0
2020/2/15,2135,3159,1.02%,0
2020/2/16,2153,3292,1.15%,0
2020/2/17,2687,3825,0.99%,0
2020/2/18,3377,3580,0.56%,0
2020/2/19,2766,3234,0.61%,0
2020/2/20,2789,3449,0.68%,0
2020/2/21,2424,4566,1.02%,0
2020/2/22,2079,4765,0.62%,0
2020/2/23,2360,5289,1.50%,0
2020/2/24,2595,8734,2.04%,0
2020/2/25,2830,10209,1.87%,0
2020/2/26,2804,12508,2.44%,0
2020/2/27,2517,17379,3.42%,0
2020/2/28,2408,19524,3.83%,0
2020/2/29,2054,17346,4.60%,1
2020/3/1,2195,15404,3.73%,0
2020/3/2,2233,18209,3.17%,1
2020/3/3,2682,19592,3.07%,0
2020/3/4,4363,19521,2.57%,6
2020/3/5,2889,20443,4.68%,3
2020/3/6,2305,21416,4.67%,2
2020/3/7,1770,20848,4.17%,3
2020/3/8,2120,20778,4.98%,3
2020/3/9,2289,27398,6.30%,5
2020/3/10,2381,34132,6.96%,4
2020/3/11,3587,41514,6.73%,4
2020/3/12,2340,65407,12.49%,7
2020/3/13,1658,65851,14.62%,12
2020/3/14,1337,53429,13.07%,7
2020/3/15,1408,52611,14.67%,11
2020/3/16,1847,59558,13.41%,13
2020/3/17,1542,61567,14.81%,18
2020/3/18,1903,65724,14.70%,21
2020/3/19,1714,65678,14.68%,28
2020/3/20,1198,65543,18.78%,64
2020/3/21,1186,59255,17.06%,69
2020/3/22,1336,59417,18.09%,92
2020/3/23,1337,63602,15.06%,112
2020/3/24,1333,66129,17.97%,118
2020/3/25,1257,63562,17.19%,164
2020/3/26,1245,64279,18.15%,209
2020/3/27,1256,65367,16.15%,301
2020/3/28,1152,53944,16.70%,341
2020/3/29,1040,55066,17.92%,487
2020/3/30,1077,59050,18.90%,556
2020/3/31,1269,57224,16.35%,665
2020/4/1,1240,57014,17.00%,631
2020/4/2,1242,59879,18.24%,982
2020/4/3,1259,58865,17.17%,1121
2020/4/4,1007,51723,16.50%,1311
2020/4/5,1118,49669,16.13%,1376
2020/4/6,1111,57220,16.40%,1540
2020/4/7,1056,54018,14.29%,1873
2020/4/8,2009,55258,11.77%,1691
2020/4/9,1720,52099,13.00%,2093
2020/4/10,1374,47151,11.92%,2221
2020/4/11,1273,43096,12.21%,2230
2020/4/12,1200,41634,12.54%,2241
2020/4/13,1731,46093,10.03%,2192
2020/4/14,1873,47562,10.94%,1857
2020/4/15,1570,55540,12.73%,1905
2020/4/16,1452,51593,12.48%,2432
2020/4/17,1423,47205,12.16%,2731
2020/4/18,1127,42710,12.57%,2445
2020/4/19,1169,44391,13.09%,2336
2020/4/20,1411,46496,12.14%,1848
2020/4/21,1431,47529,13.27%,1993
2020/4/22,1827,49146,15.02%,2077
2020/4/23,1660,46926,11.84%,2673
2020/4/24,1513,45527,11.36%,2221
2020/4/25,1272,38039,10.74%,1984
2020/4/26,1254,37652,10.68%,2103
2020/4/27,1180,42621,11.74%,1892
2020/4/28,1365,43410,13.88%,1535
2020/4/29,1291,43644,11.15%,1489
2020/4/30,1590,44302,11.72%,2111
2020/5/1,1375,41499,10.25%,2417
2020/5/2,1005,33374,11.06%,2238
2020/5/3,1103,35918,11.76%,1953
2020/5/4,1130,40445,13.14%,1609
